Id;R;RM;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
4431;P;Por;Carnesecchi;Atalanta;19;14;5;19;14;5;80;80
4312;P;Por;Maignan;Milan;19;16;3;19;16;3;91;91
5841;P;Por;Svilar;Roma;19;15;4;19;15;4;106;106
2170;P;Por;Milinkovic-Savic V.;Napoli;17;4;13;17;4;13;31;31
6966;P;Por;Butez;Como;16;10;6;16;10;6;77;77
2814;P;Por;Provedel;Lazio;16;12;4;16;12;4;71;71
2134;P;Por;Falcone;Lecce;16;6;10;16;6;10;40;40
761;P;Por;Audero;Cremonese;13;5;8;13;5;8;11;11
2428;P;Por;Sommer;Inter;13;16;-3;13;16;-3;68;68
5876;P;Por;Di Gregorio;Juventus;13;16;-3;13;16;-3;50;50
133;P;Por;Skorupski;Bologna;12;10;2;12;10;2;10;10
4360;P;Por;Caprile;Cagliari;12;7;5;12;7;5;29;29
6662;P;Por;Corvi;Parma;12;1;11;12;1;11;14;14
2521;P;Por;De Gea;Fiorentina;11;14;-3;11;14;-3;17;17
6462;P;Por;Okoye;Udinese;11;6;5;11;6;5;11;11
4957;P;Por;Montipò;Verona;11;5;6;11;5;6;5;5
4236;P;Por;Muric;Sassuolo;10;3;7;10;3;7;11;11
7332;P;Por;Bijlow;Genoa;10;10;0;10;10;0;13;13
188;P;Por;Leali;Genoa;9;8;1;9;8;1;1;1
2722;P;Por;Ravaglia F.;Bologna;8;3;5;8;3;5;5;5
572;P;Por;Meret;Napoli;8;16;-8;8;16;-8;15;15
2861;P;Por;Semper;Pisa;8;3;5;8;3;5;1;2
5320;P;Por;Paleari;Torino;8;1;7;8;1;7;8;8
6641;P;Por;Suzuki;Parma;7;7;0;7;7;0;5;5
574;P;Por;Scuffet;Pisa;3;3;0;3;3;0;8;8
543;P;Por;Padelli;Udinese;3;1;2;3;1;2;1;1
218;P;Por;Perin;Juventus;2;1;1;2;1;1;1;1
5338;P;Por;Rinaldi;Parma;2;1;1;2;1;1;1;1
2271;P;Por;Nicolas;Pisa;2;1;1;2;1;1;1;1
511;P;Por;Perilli;Verona;2;1;1;2;1;1;1;1
2297;P;Por;Rossi F.;Atalanta;1;1;0;1;1;0;1;1
4;P;Por;Sportiello;Atalanta;1;1;0;1;1;0;1;1
7172;P;Por;Pessina Mas.;Bologna;1;1;0;1;1;0;1;1
4929;P;Por;Ciocci;Cagliari;1;1;0;1;1;0;1;1
